fp_pwr,rx_pwr,pwr_diff,rxpacc,dist_cm,fp_resid,label,frame_len
-69.6754075445,-93.0502919616,-23.374884417,48,122.75,-67.8949775286,0,0
-78.3426822207,-101.358522381,-23.0158401604,49,104.75,-77.9396015879,0,0
-70.393167536,-94.1897254846,-23.7965579486,48,86.75,-71.6277778667,0,0
-77.4218583544,-101.358522381,-23.9366640267,49,68.75,-80.6764043043,0,0
-73.536522379,-97.3791222943,-23.8425999153,49,50.75,-79.4278014473,0,0
-72.0905710184,-95.6703508392,-23.5797798208,54,49.1219512195,-78.2650588284,0,0
-70.8753162458,-94.4644328014,-23.5891165556,47,57.3170731707,-75.7096361348,0,0
-69.8594907275,-93.7455340868,-23.8860433592,52,65.512195122,-73.5330476953,0,0
-71.1442553725,-93.9109846061,-22.7667292335,53,73.7073170732,-73.7940433069,0,0
-76.6785972968,-98.8643676965,-22.1857703997,52,81.9024390244,-78.4126605952,0,0
-71.4140445399,-95.3425425154,-23.9284979755,52,96.5641025641,-71.7177303669,0,0
-87.3332107286,-95.8540677399,-8.52085701127,52,117.692307692,-85.9182491584,0,0
-80.8180725616,-96.4339872097,-15.615914648,52,138.820512821,-77.9689996735,0,0
-79.9508580223,-95.8540677399,-15.9032097176,52,159.948717949,-75.8712427544,0,0
-71.5536502946,-94.4710407582,-22.9173904637,52,181.076923077,-66.3963881706,0,0
-72.2451251804,-95.7387450845,-23.4936199041,48,212.048780488,-65.7164095977,0,0
-71.229339362,-93.9109846061,-22.6816452441,53,248.926829268,-63.3079052165,0,0
-69.5635062652,-93.0092183026,-23.4457120374,53,285.804878049,-60.4421135262,0,0
-82.6612635897,-96.225345392,-13.5640818023,47,322.682926829,-72.4857438403,0,0
-73.4470473643,-95.0504181291,-21.6033707648,53,359.56097561,-62.3315963614,0,0
-71.0634971366,-93.4048673008,-22.3413701642,50,392.193548387,-59.1934882323,0,0
-80.1948270937,-100.996557939,-20.8017308455,47,420.580645161,-67.7178414363,0,0
-74.668749468,-96.4339872097,-21.7652377417,52,448.967741935,-61.6244467015,0,0
-75.4132823724,-94.0931551493,-18.6798727769,52,416.5,-63.0209822576,0,0
-77.150006911,-93.9548954861,-16.8048885751,49,198.03125,-71.2153323349,0,0
-71.7447333657,-93.0830204671,-21.3382871014,50,166.28125,-67.3278677536,0,0
-79.8789423302,-100.996557939,-21.117615609,47,102.78125,-79.6406644269,0,0
-71.2513612344,-94.4644328014,-23.2130715671,47,78.3404255319,-73.3716427097,0,0
-77.2583779758,-99.2356453486,-21.9772673728,47,105.063829787,-76.8293134226,0,0
-72.1514491857,-95.3425425154,-23.1910933297,52,158.510638298,-68.1502808895,0,0
-73.0150412824,-93.423687253,-20.4086459706,52,185.234042553,-67.6606251847,0,0
-84.6778327482,-100.113755063,-15.4359223144,52,452.895833333,-71.5578662449,0,0
-77.8411196347,-101.534000867,-23.6928812325,50,444.729166667,-64.8792073805,0,0
-74.9298542577,-97.5546007805,-22.6247465228,50,428.395833333,-62.2929494948,0,0
-72.9916721187,-95.5558774957,-22.564205377,47,412.0625,-60.6924102569,0,0
-83.7945121885,-92.6079097471,-8.81339755867,49,378.204545455,-72.2399773062,0,0
-72.1078094011,-95.0018757295,-22.8940663284,50,328.931818182,-61.7656916886,0,0
-75.1934610736,-93.9548954861,-18.7614344125,49,279.659090909,-66.2608822425,0,0
-73.1981266756,-94.3688223377,-21.1706956621,49,230.386363636,-65.9489912754,0,0
-71.8009534229,-93.2150454354,-21.4140920125,47,181.113636364,-66.6419304161,0,0
-71.1191720134,-94.1897254846,-23.0705534713,48,135.65625,-68.470375863,0,0
-78.4017755237,-95.5134009539,-17.1116254302,50,116.90625,-77.0450209262,0,0
-77.0137554323,-95.7387450845,-18.7249896522,48,98.15625,-77.1753962708,0,0
-69.7050316142,-93.5929310443,-23.88789943,47,79.40625,-71.7079378796,0,0
-76.8486404747,-99.5976097905,-22.7489693158,49,91.8409090909,-77.5879169956,0,0
-72.5784721582,-94.8263972433,-22.2479250851,49,117.477272727,-71.1793950446,0,0
-74.5459320252,-97.2000254413,-22.654093416,48,143.113636364,-71.4323116889,0,0
-71.8681849546,-95.3690769706,-23.500892016,46,168.75,-67.3233093246,0,0
-74.6800001694,-98.1691255714,-23.489125402,48,194.386363636,-68.9066842585,0,0
-72.0517141208,-94.0068578958,-21.955143775,47,228.230769231,-64.8842302406,0,0
-71.914092481,-95.5558774957,-23.6417850147,47,267,-63.3838672537,0,0
-77.137682734,-100.113755063,-22.9760723286,52,391.166666667,-65.2904459497,0,0
-69.5431977765,-93.0282449103,-23.4850471338,46,102.341463415,-69.3421653204,0,0
-75.3018343479,-97.2000254413,-21.8981910934,48,69.3658536585,-78.4789196411,0,0
-74.8175603588,-98.1691255714,-23.3515652125,48,59.125,-79.3821372839,0,0
-69.6758027422,-93.3979130242,-23.722110282,48,62.525,-73.7547287341,0,0
-69.5495374829,-93.5770098772,-24.0274723943,49,65.925,-73.1685347136,0,0
-71.0489094486,-94.9759580259,-23.9270485774,47,69.325,-74.2311118836,0,0
-70.7276037037,-94.2586056687,-23.5310019649,53,72.725,-73.4939291054,0,0
-71.3699205082,-95.0504181291,-23.6804976209,53,90.3095238095,-72.2552494621,0,0
-73.6433289983,-97.2000254413,-23.5566964429,48,116.404761905,-72.323914061,0,0
-70.5412384154,-94.2776322764,-23.736393861,46,142.5,-67.4649411285,0,0
-70.1990781471,-93.8200573708,-23.6209792237,46,168.595238095,-65.6621720673,0,0
-71.5402535175,-94.9759580259,-23.4357045085,47,194.69047619,-65.7533593704,0,0
-69.6315346198,-92.5455775391,-22.9140429193,47,228.806451613,-62.4421692995,0,0
-71.9936346309,-94.2586056687,-22.2649710378,53,276.290322581,-63.1663211615,0,0
-74.2520846535,-96.225345392,-21.9732607385,47,323.774193548,-64.0472400472,0,0
-84.7844772998,-103.433954267,-18.649476967,44,371.258064516,-73.3909593752,0,0
-83.8905345289,-103.433954267,-19.543419738,44,362.36,-72.7077295091,0,0
-72.0737224306,-94.4710407582,-22.3973183277,52,310.421052632,-62.2346990853,0,0
-73.5879554158,-97.0171578525,-23.4292024367,47,222,-66.6608959268,0,0
-69.130258841,-91.4607408016,-22.3304819606,52,191.674418605,-63.4789757488,0,0
-69.3961259846,-92.0974316003,-22.7013056157,52,161.348837209,-65.2408091861,0,0
-71.5302418804,-94.5443008238,-23.0140589435,50,131.023255814,-69.183274139,0,0
-73.5558605802,-97.2000254413,-23.6441648611,48,100.697674419,-73.4954717647,0,0
-77.0601375657,-99.5976097905,-22.5374722248,49,70.3720930233,-80.1121282035,0,0
-70.9403011711,-94.9759580259,-24.0356568548,47,66.4358974359,-74.4922450519,0,0
-71.420016639,-95.1588256147,-23.7388089757,48,78.3333333333,-73.5410844879,0,0
-70.3908385777,-94.3688223377,-23.97798376,49,90.2307692308,-71.2837453816,0,0
-74.2517714876,-97.3791222943,-23.1273508067,49,364.916666667,-63.0078975047,0,0
-74.2439883168,-93.9548954861,-19.7109071693,49,328.583333333,-63.9110776963,0,0
-74.5080943362,-95.3425425154,-20.8344481792,52,292.25,-65.1930039395,0,0
-72.4463878447,-94.1897254846,-21.74333764,48,190.567567568,-66.8454080325,0,0
-70.2230791093,-93.2150454354,-22.9919663261,47,157.486486486,-66.2782132288,0,0
-71.1102664112,-94.8263972433,-23.7161308321,49,124.405405405,-69.2134813947,0,0
-74.5566395478,-97.9862579826,-23.4296184347,47,116.5,-73.2301210406,0,0
-75.3303117581,-99.4185129374,-24.0882011794,48,123.7,-73.4829177655,0,0
-71.5055860905,-94.8849676098,-23.3793815193,52,130.9,-69.1667931595,0,0
-74.7412722134,-94.6473003902,-19.9060281769,48,145.3,-71.4959599274,0,0
-73.6860441435,-93.7757986331,-20.0897544895,48,166.25,-69.270811064,0,0
-70.8811074802,-92.7833882333,-21.9022807531,50,195.45,-65.0603939848,0,0
-72.8443171811,-94.0068578958,-21.1625407147,47,224.65,-65.8141887226,0,0
-73.4445407774,-93.2150454354,-19.7705046579,47,253.85,-65.3529974226,0,0
-75.3703619567,-95.3690769706,-19.9987150139,46,283.05,-66.3330987723,0,0
-83.9282710973,-95.7387450845,-11.8104739872,48,317.103448276,-73.9042518033,0,0
-81.228102383,-99.2356453486,-18.0075429656,47,354.068965517,-70.246345141,0,0
-78.1486480585,-97.9862579826,-19.837609924,47,391.034482759,-66.3043469254,0,0
-84.8900192021,-103.820057371,-18.9300381686,46,428,-72.2611438219,0,0
-72.629228899,-94.8849676098,-22.2557387108,52,423.555555556,-60.0910212484,0,0
-78.5312988107,-97.8952675665,-19.3639687558,52,388.928571429,-66.7339018424,0,0
-76.305318191,-94.4710407582,-18.1657225672,52,343.5,-65.5867833631,0,0
-83.7971088053,-95.3379224678,-11.5408136625,49,298.071428571,-74.3107018246,0,0
-78.1076831786,-93.2293888146,-15.121705636,49,255,-69.9768795699,0,0
-72.1920637944,-92.9075419809,-20.7154781865,49,189.594594595,-66.6355447685,0,0
-73.2400587293,-94.4644328014,-21.2243740722,47,239.324324324,-65.6603219001,0,0
-71.4289180047,-94.3688223377,-22.9399043329,49,289.054054054,-62.2093367079,0,0
-74.5486594871,-97.8952675665,-23.3466080794,52,338.783783784,-63.9502072025,0,0
-92.3386162064,-97.3791222943,-5.04050608793,49,373.666666667,-80.8889290489,0,0
-75.5449895317,-98.3482224244,-22.8032328927,49,406.428571429,-63.3653049174,0,0
-80.3243049314,-97.9862579826,-17.6619530511,47,439.19047619,-67.4712466533,0,0
-80.8492856269,-100.996557939,-20.1472723123,47,471.952380952,-67.3713219988,0,0
-82.6735603777,-101.179425528,-18.5058651503,48,504.714285714,-68.6126484293,0,0
-83.1393184272,-100.996557939,-17.857239512,47,507,-69.0391592405,0,0
-80.5180700203,-104.368822338,-23.8507523174,49,475,-66.9841978278,0,0
-80.1785250612,-104.006857896,-23.8283328347,47,447.863636364,-67.1556090218,0,0
-75.0235722192,-97.9862579826,-22.9626857633,47,414.045454545,-62.6826117942,0,0
-80.2303219416,-98.8643676965,-18.634045755,52,380.227272727,-68.629456652,0,0
-81.3961234356,-97.0171578525,-15.6210344169,47,346.409090909,-70.6043378195,0,0
-81.5621968173,-99.4185129374,-17.8563161202,48,312.590909091,-71.6626699469,0,0
-73.6166687308,-95.7387450845,-22.1220763537,48,278.290322581,-64.7267066467,0,0
-80.0923253741,-96.76278832,-16.6704629459,50,240.612903226,-72.4659471078,0,0
-74.3242147739,-94.4644328014,-20.1402180275,47,202.935483871,-68.1770549469,0,0
-92.0966765586,-101.874667653,-9.77799109457,52,579.5,-76.8356077526,0,0
