fp_pwr,rx_pwr,pwr_diff,rxpacc,label,frame_len
-70.8778688981,-94.3688223377,-23.4909534396,49,0,0
-72.5032690768,-94.7163042591,-22.2130351823,51,0,0
-69.6754075445,-93.0502919616,-23.374884417,48,0,0
-78.3426822207,-101.358522381,-23.0158401604,49,0,0
-70.393167536,-94.1897254846,-23.7965579486,48,0,0
-77.4218583544,-101.358522381,-23.9366640267,49,0,0
-73.536522379,-97.3791222943,-23.8425999153,49,0,0
-72.0905710184,-95.6703508392,-23.5797798208,54,0,0
-70.8753162458,-94.4644328014,-23.5891165556,47,0,0
-69.8594907275,-93.7455340868,-23.8860433592,52,0,0
-71.1442553725,-93.9109846061,-22.7667292335,53,0,0
-76.6785972968,-98.8643676965,-22.1857703997,52,0,0
-71.4140445399,-95.3425425154,-23.9284979755,52,0,0
-87.3332107286,-95.8540677399,-8.52085701127,52,0,0
-80.8180725616,-96.4339872097,-15.615914648,52,0,0
-79.9508580223,-95.8540677399,-15.9032097176,52,0,0
-71.5536502946,-94.4710407582,-22.9173904637,52,0,0
-72.2451251804,-95.7387450845,-23.4936199041,48,0,0
-71.229339362,-93.9109846061,-22.6816452441,53,0,0
-69.5635062652,-93.0092183026,-23.4457120374,53,0,0
-82.6612635897,-96.225345392,-13.5640818023,47,0,0
-73.4470473643,-95.0504181291,-21.6033707648,53,0,0
-71.0634971366,-93.4048673008,-22.3413701642,50,0,0
-80.1948270937,-100.996557939,-20.8017308455,47,0,0
-74.668749468,-96.4339872097,-21.7652377417,52,0,0
-75.4132823724,-94.0931551493,-18.6798727769,52,0,0
-77.150006911,-93.9548954861,-16.8048885751,49,0,0
-71.7447333657,-93.0830204671,-21.3382871014,50,0,0
-79.8789423302,-100.996557939,-21.117615609,47,0,0
-71.2513612344,-94.4644328014,-23.2130715671,47,0,0
-77.2583779758,-99.2356453486,-21.9772673728,47,0,0
-72.1514491857,-95.3425425154,-23.1910933297,52,0,0
-73.0150412824,-93.423687253,-20.4086459706,52,0,0
-84.6778327482,-100.113755063,-15.4359223144,52,0,0
-77.8411196347,-101.534000867,-23.6928812325,50,0,0
-74.9298542577,-97.5546007805,-22.6247465228,50,0,0
-72.9916721187,-95.5558774957,-22.564205377,47,0,0
-83.7945121885,-92.6079097471,-8.81339755867,49,0,0
-72.1078094011,-95.0018757295,-22.8940663284,50,0,0
-75.1934610736,-93.9548954861,-18.7614344125,49,0,0
-73.1981266756,-94.3688223377,-21.1706956621,49,0,0
-71.8009534229,-93.2150454354,-21.4140920125,47,0,0
-71.1191720134,-94.1897254846,-23.0705534713,48,0,0
-78.4017755237,-95.5134009539,-17.1116254302,50,0,0
-77.0137554323,-95.7387450845,-18.7249896522,48,0,0
-69.7050316142,-93.5929310443,-23.88789943,47,0,0
-76.8486404747,-99.5976097905,-22.7489693158,49,0,0
-72.5784721582,-94.8263972433,-22.2479250851,49,0,0
-74.5459320252,-97.2000254413,-22.654093416,48,0,0
-71.8681849546,-95.3690769706,-23.500892016,46,0,0
-74.6800001694,-98.1691255714,-23.489125402,48,0,0
-72.0517141208,-94.0068578958,-21.955143775,47,0,0
-71.914092481,-95.5558774957,-23.6417850147,47,0,0
-77.137682734,-100.113755063,-22.9760723286,52,0,0
-69.5431977765,-93.0282449103,-23.4850471338,46,0,0
-75.3018343479,-97.2000254413,-21.8981910934,48,0,0
-74.8175603588,-98.1691255714,-23.3515652125,48,0,0
-69.6758027422,-93.3979130242,-23.722110282,48,0,0
-69.5495374829,-93.5770098772,-24.0274723943,49,0,0
-71.0489094486,-94.9759580259,-23.9270485774,47,0,0
-70.7276037037,-94.2586056687,-23.5310019649,53,0,0
-71.3699205082,-95.0504181291,-23.6804976209,53,0,0
-73.6433289983,-97.2000254413,-23.5566964429,48,0,0
-70.5412384154,-94.2776322764,-23.736393861,46,0,0
-70.1990781471,-93.8200573708,-23.6209792237,46,0,0
-71.5402535175,-94.9759580259,-23.4357045085,47,0,0
-69.6315346198,-92.5455775391,-22.9140429193,47,0,0
-71.9936346309,-94.2586056687,-22.2649710378,53,0,0
-74.2520846535,-96.225345392,-21.9732607385,47,0,0
-84.7844772998,-103.433954267,-18.649476967,44,0,0
-83.8905345289,-103.433954267,-19.543419738,44,0,0
-72.0737224306,-94.4710407582,-22.3973183277,52,0,0
-73.5879554158,-97.0171578525,-23.4292024367,47,0,0
-69.130258841,-91.4607408016,-22.3304819606,52,0,0
-69.3961259846,-92.0974316003,-22.7013056157,52,0,0
-71.5302418804,-94.5443008238,-23.0140589435,50,0,0
-73.5558605802,-97.2000254413,-23.6441648611,48,0,0
-77.0601375657,-99.5976097905,-22.5374722248,49,0,0
-70.9403011711,-94.9759580259,-24.0356568548,47,0,0
-71.420016639,-95.1588256147,-23.7388089757,48,0,0
-70.3908385777,-94.3688223377,-23.97798376,49,0,0
-74.2517714876,-97.3791222943,-23.1273508067,49,0,0
