fp_pwr,rx_pwr,pwr_diff,rxpacc,dist_cm,fp_resid,label,frame_len
-72.9443008541,-96.0195182592,-23.0752174052,53,139,-70.084004849,0,58
-80.3279110262,-96.76278832,-16.4348772938,50,132,-77.9164324021,0,58
-72.6636185814,-95.6854043892,-23.0217858077,51,94,-73.2010615094,0,58
-72.4787201364,-95.3425425154,-22.863822379,52,140,-69.5561594229,0,0
-72.0026094279,-94.8849676098,-22.8823581819,52,140,-69.0800487143,0,46
-85.5967792157,-95.6854043892,-10.0886251735,51,95,-86.0423071099,0,0
-82.5720804151,-95.3425425154,-12.7704621003,52,121,-80.9163730088,0,46
-84.2050416749,-95.8540677399,-11.649026065,52,113,-83.1434728052,0,0
-84.0439798471,-95.8540677399,-11.8100878928,52,100,-84.0439798471,0,0
-77.7209620722,-94.8849676098,-17.1640055376,52,87,-78.9305770198,0,46
-84.1209394361,-96.2653238589,-12.1443844228,51,86,-85.4309704112,0,0
-83.3017696214,-95.5079930347,-12.2062234134,53,97,-83.5663349361,0,0
-79.3888704551,-95.3425425154,-15.9536720604,52,97,-79.6534357697,0,46
-83.2415880673,-96.0933204237,-12.8517323564,50,119,-81.7306488394,0,0
-80.7223949187,-95.6854043892,-14.9630094704,51,123,-78.92429269,0,0
-80.1971290057,-95.8540677399,-15.6569387342,52,97,-80.4616943203,0,46
-80.6633200115,-95.3425425154,-14.679222504,52,95,-81.1088479057,0,46
-81.8684736875,-96.4339872097,-14.5655135222,52,90,-82.7836234987,0,0
-82.1501789692,-95.8540677399,-13.7038887707,52,88,-83.2605255262,0,46
-84.8808149186,-95.3425425154,-10.4617275968,52,115,-83.6668581116,0,0
-85.1156693566,-96.1818760637,-11.0662067071,54,97,-85.3802346713,0,0
-82.361757182,-95.3425425154,-12.9807853334,52,85,-83.7733786677,0,46
-84.3769958077,-95.8540677399,-11.4770719322,52,99,-84.4642919157,0,0
-76.2994326234,-96.0933204237,-19.7938878003,50,80,-78.2376328836,0,0
-77.7065230738,-96.4339872097,-18.7274641359,52,93,-78.3368641027,0,0
-71.4253945879,-94.8849676098,-23.4595730219,52,82,-73.1491175403,0,46
-72.2165532721,-93.423687253,-21.207133981,52,82,-73.9402762244,0,46
-73.3924209469,-93.576870736,-20.1844497892,51,89,-74.404620814,0,0
-72.7055654377,-93.423687253,-20.7181218153,52,96,-73.0601407769,0,0
-71.2984502325,-93.423687253,-22.1252370206,52,98,-71.4739287186,0,46
-73.9377180063,-94.0931551493,-20.1554371431,52,99,-74.0250141143,0,0
-71.54217716,-93.0830204671,-21.5408433071,50,100,-71.54217716,0,0
-71.1812477868,-93.1240550193,-21.9428072325,52,106,-70.6751304815,0,0
-71.1820786471,-92.8437677833,-21.6616891361,52,106,-70.6759613418,0,46
-71.8980818156,-93.4048673008,-21.5067854852,50,99,-71.9853779236,0,0
-71.2454335818,-93.0092183026,-21.7637847208,53,109,-70.496903623,0,0
-71.6420786893,-93.423687253,-21.7816085637,52,95,-72.0876065836,0,46
-72.3144848658,-93.7455340868,-21.4310492209,52,108,-71.6460097561,0,0
-71.1602502102,-93.0830204671,-21.9227702568,50,105,-70.7364642288,0,0
-71.6101696888,-93.1240550193,-21.5138853305,52,96,-71.964745028,0,46
-71.4171838088,-93.4048673008,-21.9876834919,50,105,-70.9933978274,0,0
-71.1574284111,-93.0830204671,-21.925592056,50,107,-70.5697528574,0,0
-70.8502637661,-92.580478396,-21.7302146299,52,100,-70.8502637661,0,46
-71.2955772379,-93.0830204671,-21.7874432292,50,120,-69.7119523169,0,0
-71.9484638962,-93.423687253,-21.4752233568,52,107,-71.3607883425,0,0
-71.7031634961,-93.1240550193,-21.4208915232,52,107,-71.1154879424,0,46
