fp_pwr,rx_pwr,pwr_diff,rxpacc,dist_cm,fp_resid,label,frame_len
-86.4055676121,-94.8849676098,-8.47939999776,52,135,-83.7988922422,0,46
-87.4940554981,-95.0018757295,-7.50782023133,50,140,-84.5714947846,0,0
-84.5608446382,-96.4339872097,-11.8731425715,52,104,-84.2201778522,0,0
-85.2381616921,-95.8540677399,-10.6159060478,52,97,-85.5027270068,0,0
-84.0730048384,-95.8540677399,-11.7810629015,52,82,-85.7967277907,0,0
-84.902573234,-95.3425425154,-10.4399692814,52,131,-82.5571473209,0,0
-79.5847725516,-97.2689056253,-17.6841330737,53,110,-78.7569188485,0,0
-76.4733396782,-96.2653238589,-19.7919841807,51,108,-75.8048645685,0,0
-75.9894067905,-97.5546007805,-21.56519399,50,144,-72.8221569486,0,0
-84.511535317,-97.8952675665,-13.3837322495,52,107,-83.9238597633,0,0
-83.3272571969,-95.5134009539,-12.186143757,50,116,-82.0380974124,0,0
-84.3732221153,-96.5873098339,-12.2140877185,49,118,-82.9355819692,0,0
-84.5057137387,-97.2000254413,-12.6943117026,48,125,-82.5675134785,0,0
-84.7087791752,-97.8952675665,-13.1864883913,52,79,-86.7562373494,0,0
-70.0261738965,-92.8437677833,-22.8175938867,52,79,-72.0736320707,0,46
-74.6705650464,-97.103455106,-22.4328900596,52,79,-76.7180232206,0,46
-75.045264978,-95.6854043892,-20.6401394112,51,47,-81.6033078193,0,0
-71.9547276236,-95.8540677399,-23.8993401163,52,38,-80.3590556913,0,58
-72.1480670425,-95.8540677399,-23.7060006974,52,38,-80.5523951101,0,0
-74.1200178427,-94.8849676098,-20.7649497671,52,186,-68.7297589584,0,0
-75.528999387,-94.8849676098,-19.3559682228,52,173,-70.7680773244,0,0
-75.7503695278,-93.2293888146,-17.4790192868,49,174,-70.9393845621,0,0
-74.9325010132,-94.3688223377,-19.4363213245,49,168,-70.4263153787,0,0
-74.2522638889,-95.3379224678,-21.0856585789,49,176,-69.3420105326,0,0
-74.562877717,-94.8263972433,-20.2635195263,49,178,-69.5544776709,0,0
-75.0595864792,-95.0504181291,-19.99083165,53,173,-70.2986644166,0,0
-75.4973717848,-94.8263972433,-19.3290254585,49,174,-70.6863868191,0,0
-74.5513864395,-94.798849082,-20.2474626425,54,175,-69.6906254658,0,0
-74.1543954863,-94.7163042591,-20.5619087728,51,174,-69.3434105206,0,0
-74.8191725212,-95.1738791647,-20.3547066434,51,187,-69.3823403905,0,0
-74.0676711199,-95.1588256147,-21.0911544948,48,169,-69.5099370276,0,0
-74.070247215,-95.1588256147,-21.0885783997,48,180,-68.9647971129,0,0
-75.2496139326,-95.5558774957,-20.3062635631,47,169,-70.6918798403,0,0
-75.0497050769,-95.0504181291,-20.0007130523,53,176,-70.1394517206,0,0
-74.6580720941,-94.5443008238,-19.8862287298,50,187,-69.2212399634,0,0
-74.5312343632,-95.1738791647,-20.6426448015,51,172,-69.8206654251,0,0
-74.5130420372,-94.8849676098,-20.3719255726,52,171,-69.8531198294,0,0
-74.2396356812,-94.7163042591,-20.4766685779,51,170,-69.6306572537,0,0
-74.8586027075,-95.0504181291,-20.1918154216,53,180,-69.7531526054,0,0
-74.1472257673,-94.4209634731,-20.2737377058,54,167,-69.6928963443,0,0
-74.2945283921,-95.1588256147,-20.8642972226,48,186,-68.9042695078,0,0
-75.6407761424,-95.0018757295,-19.3610995871,50,186,-70.250517258,0,0
-74.9017500464,-94.0931551493,-19.1914051029,52,172,-70.1911811083,0,46
-74.8461663408,-94.798849082,-19.9526827412,54,175,-69.9854053671,0,0
-74.2973525473,-94.8263972433,-20.529044696,49,171,-69.6374303395,0,0
-74.6406078804,-95.0018757295,-20.3612678491,50,175,-69.7798469066,0,0
-74.9896832979,-95.0018757295,-20.0121924316,50,175,-70.1289223241,0,0
-74.6630490131,-95.0018757295,-20.3388267164,50,175,-69.8022880394,0,0
-74.1564430927,-94.8263972433,-20.6699541506,49,174,-69.3454581271,0,0
-74.1750836766,-94.6473003902,-20.4722167136,48,179,-69.118023057,0,0
-73.931353633,-95.1588256147,-21.2274719817,48,185,-68.587919065,0,0
-74.2311778222,-94.5443008238,-20.3131230016,50,173,-69.4702557596,0,0
-74.7718328354,-95.2127759336,-20.4409430982,54,187,-69.3350007047,0,0
-74.6373477817,-95.3425425154,-20.7051947337,52,184,-69.3409913215,0,0
-74.9963976127,-94.8849676098,-19.8885699971,52,172,-70.2858286746,0,0
-74.2968623356,-94.4209634731,-20.1241011375,54,170,-69.687883908,0,0
-74.8329496992,-95.0018757295,-20.1689260303,50,183,-69.5839279046,0,0
-74.9363406193,-95.3425425154,-20.4062018961,52,172,-70.2257716811,0,58
-74.4014886333,-94.7163042591,-20.3148156258,51,186,-69.0112297489,0,58
-73.9186188261,-95.1588256147,-21.2402067886,48,174,-69.1076338604,0,58
-74.3553605516,-95.3379224678,-20.9825619162,49,175,-69.4945995778,0,58
-75.0964051964,-94.3023774075,-19.2059722111,51,174,-70.2854202308,0,58
-75.6464627647,-93.5891377724,-17.9426750077,53,172,-70.9358938265,0,58
-75.654380323,-93.5929310443,-17.9385507212,47,175,-70.7936193493,0,58
-75.0159296837,-95.3425425154,-20.3266128318,52,177,-70.0564643564,0,58
-73.8589956123,-95.5558774957,-21.6968818834,47,186,-68.4687367279,0,58
-75.7642645052,-94.8263972433,-19.0621327381,49,175,-70.9035035314,0,58
-74.7858451708,-93.2895055386,-18.5036603678,53,174,-69.9748602051,0,58
-75.0716593268,-95.7387450845,-20.6670857577,48,185,-69.7282247587,0,58
-74.0374727689,-96.1818760637,-22.1444032948,54,176,-69.1272194126,0,58
-74.133188997,-96.5873098339,-22.4541208369,49,176,-69.2229356407,0,58
-73.8855188272,-95.6854043892,-21.799885562,51,174,-69.0745338616,0,58
-73.5694195899,-95.3425425154,-21.7731229255,52,171,-68.9094973821,0,46
-74.583759669,-95.1588256147,-20.5750659457,48,185,-69.240325101,0,0
-75.2733942752,-93.9244917986,-18.6510975234,51,186,-69.8831353908,0,0
-74.5441926945,-94.3688223377,-19.8246296432,49,169,-69.9864586022,0,0
-74.7542013089,-93.9244917986,-19.1702904897,51,186,-69.3639424245,0,0
-74.6973387671,-94.4209634731,-19.723624706,54,172,-69.986769829,0,0
-75.0592502643,-94.5443008238,-19.4850505596,50,170,-70.4502718367,0,0
-75.0479734084,-94.0931551493,-19.045181741,52,187,-69.6111412777,0,0
-75.0629316267,-94.1897254846,-19.1267938579,48,184,-69.7665751665,0,0
-75.839960547,-93.9109846061,-18.071024059,53,175,-70.9791995733,0,0
-75.2407574423,-93.9244917986,-18.6837343563,51,175,-70.3799964685,0,0
-74.8689774377,-94.798849082,-19.9298716443,54,162,-70.6786771468,0,58
-74.661790274,-96.76278832,-22.100998046,50,175,-69.8010293003,0,58
-74.2865917038,-95.6703508392,-21.3837591354,54,169,-69.7288576116,0,58
-74.0690088531,-96.2653238589,-22.1963150058,51,168,-69.5628232186,0,58
-73.462445053,-94.8849676098,-21.4225225568,52,176,-68.5521916968,0,0
-74.5358579513,-94.8263972433,-20.290539292,49,185,-69.1924233833,0,58
-74.4254077006,-94.3688223377,-19.9434146371,49,173,-69.664485638,0,58
-75.5582163209,-93.9548954861,-18.3966791652,49,172,-70.8476473827,0,58
-74.3989489953,-95.0018757295,-20.6029267342,50,184,-69.1025925351,0,58
-74.3737321537,-95.0018757295,-20.6281435758,50,176,-69.4634787974,0,58
-75.165364646,-94.8263972433,-19.6610325973,49,179,-70.1083040264,0,58
-74.7631009423,-95.2127759336,-20.4496749913,54,175,-69.9023399686,0,58
-74.7560157168,-94.6364912776,-19.8804755607,53,187,-69.3191835861,0,58
-74.8600079035,-93.7514955768,-18.8914876733,54,182,-69.6585801438,0,58
-73.9280785934,-94.0931551493,-20.1650765559,52,182,-68.7266508337,0,0
-74.9498709151,-94.6364912776,-19.6866203625,53,172,-70.2393019769,0,58
-74.0947967076,-95.3379224678,-21.2431257602,49,185,-68.7513621396,0,58
-74.0252751909,-95.6854043892,-21.6601291983,51,178,-69.0168751447,0,58
-73.9356288819,-95.3379224678,-21.4022935859,49,171,-69.2757066741,0,58
-74.271953399,-94.8263972433,-20.5544438443,49,172,-69.5613844609,0,58
-74.3275094843,-95.7387450845,-21.4112356002,48,174,-69.5165245186,0,58
-75.010748732,-95.0018757295,-19.9911269974,50,171,-70.3508265242,0,58
-74.6591262973,-94.7163042591,-20.0571779618,51,169,-70.101392205,0,58
