fp_pwr,rx_pwr,pwr_diff,rxpacc,dist_cm,fp_resid,label,frame_len
-71.7906204553,-95.1588256147,-23.3682051594,48,75,-74.2893951874,0,58
-81.9903874165,-104.88496761,-22.8945801933,52,72,-84.8437374879,0,46
-76.535243199,-98.1691255714,-21.6338823723,48,73,-79.2687859966,0,0
-76.4903289037,-100.107325832,-23.6169969278,60,73,-79.2238717013,0,0
-70.0557801218,-92.4288128941,-22.3730327723,48,85,-71.4674016075,0,58
-70.0496311905,-92.3618545704,-22.3122233799,55,87,-71.2592461381,0,58
-70.654252153,-92.9075419809,-22.2532898279,49,76,-73.0379803074,0,58
-70.542370865,-92.7284451279,-22.1860742628,48,80,-72.4805711252,0,58
-70.3133015652,-92.580478396,-22.2671768309,52,84,-71.8277158439,0,58
-70.3093379428,-92.8437677833,-22.5344298404,52,85,-71.7209594285,0,58
-70.6889716616,-93.0502919616,-22.3613203,48,78,-72.8470796078,0,58
-70.8273809441,-93.0502919616,-22.2229110174,48,82,-72.5511038965,0,58
-71.4682503577,-92.9075419809,-21.4392916232,49,85,-72.8798718435,0,58
-71.2882996951,-92.6600508825,-21.3717511875,54,75,-73.7870744273,0,58
-70.6330039142,-92.7833882333,-22.1503843191,50,84,-72.1474181929,0,58
-70.8590370345,-93.3979130242,-22.5388759897,48,82,-72.5827599868,0,58
-70.7943194759,-92.8674243728,-22.0731048968,47,83,-72.4127576284,0,58
-70.8623660979,-92.7284451279,-21.8660790299,48,82,-72.5860890502,0,58
-71.32672644,-92.6600508825,-21.3333244425,54,86,-72.6367574152,0,58
-71.1262843842,-92.7833882333,-21.6571038491,50,87,-72.3358993318,0,58
-70.9336472556,-92.7284451279,-21.7947978722,48,78,-73.0917552018,0,58
-70.8374482899,-92.6600508825,-21.8226025927,54,78,-72.9955562361,0,58
-70.7380052416,-92.9075419809,-22.1695367393,49,77,-73.0081907382,0,58
-70.7910611364,-92.7459289154,-21.954867779,53,81,-72.6213607588,0,58
-70.8669030619,-92.7459289154,-21.8790258534,53,76,-73.2506312163,0,58
-70.9402216314,-93.0502919616,-22.1100703301,48,76,-73.3239497858,0,58
-70.9245945734,-92.5106473846,-21.5860528112,60,98,-71.1000730596,0,0
-71.5225233112,-93.1240550193,-21.601531708,52,89,-72.5347231783,0,0
-71.0882420819,-92.580478396,-21.4922363141,52,77,-73.3584275785,0,0
-71.1260213869,-92.9075419809,-21.781520594,49,80,-73.0642216471,0,0
-71.5942607705,-92.9553916685,-21.3611308981,51,70,-74.6922999702,0,0
-70.7186859873,-92.0401181725,-21.3214321852,53,79,-72.7661441615,0,0
-70.2956715952,-92.6600508825,-22.3643792873,54,75,-72.7944463274,0,58
-70.4224955054,-92.7284451279,-22.3059496225,48,80,-72.3606957655,0,58
-70.6316357546,-92.6079097471,-21.9762739925,49,80,-72.5698360148,0,58
-70.2668183064,-92.4118150453,-22.1449967389,51,87,-71.476433254,0,58
-70.0010867995,-92.4693850202,-22.4682982207,61,83,-71.619524952,0,58
