fp_pwr,rx_pwr,pwr_diff,rxpacc,dist_cm,fp_resid,label,frame_len
-84.3425593076,-98.0607180858,-13.7181587782,53,225,-77.2989089454,0,46
-85.2628023733,-96.4339872097,-11.1711848364,52,173,-80.5018803107,0,46
-70.7548303656,-93.7455340868,-22.9907037212,52,82,-72.4785533179,0,46
-73.8245055421,-95.2127759336,-21.3882703914,54,74,-76.4398711475,0,0
-72.2540706971,-92.5455775391,-20.291506842,47,96,-72.6086460363,0,0
-76.232015099,-95.3425425154,-19.1105274164,52,90,-77.1471649102,0,46
-76.5674234703,-95.5558774957,-18.9884540254,47,95,-77.0129513645,0,0
-77.8985904383,-93.5770098772,-15.6784194389,49,91,-78.7177625919,0,0
-71.7808446434,-91.6627746625,-19.8819300191,52,92,-72.5050880965,0,46
-75.4550982621,-95.7387450845,-20.2836468224,48,84,-76.9695125408,0,0
-71.5256547243,-93.7757986331,-22.2501439088,48,79,-73.5731128984,0,0
-72.2014682757,-93.423687253,-21.2222189773,52,82,-73.9251912281,0,46
-76.2386742776,-95.372154527,-19.1334802495,55,72,-79.0920243489,0,0
-69.4497198558,-92.2459453053,-22.7962254495,47,102,-69.2777164205,0,0
-74.9642340938,-94.0931551493,-19.1289210555,52,73,-77.6977768914,0,46
-75.7564975896,-96.9211741269,-21.1646765372,55,74,-78.371863195,0,0
-73.3120201034,-94.1897254846,-20.8777053812,48,90,-74.2271699146,0,0
-73.9626051534,-93.7455340868,-19.7829289334,52,87,-75.172220101,0,46
-74.5454120756,-94.798849082,-20.2534370064,54,83,-76.163850228,0,0
-73.4121288353,-93.9548954861,-20.5427666508,49,83,-75.0305669878,0,46
-72.4161208672,-93.7455340868,-21.3294132195,52,75,-74.9148955994,0,46
-73.0591054681,-94.0733424105,-21.0142369425,54,76,-75.4428336224,0,0
-72.6681295871,-93.823436531,-21.1553069439,60,80,-74.6063298472,0,46
-73.5397737179,-95.1588256147,-21.6190518968,48,75,-76.0385484501,0,0
-72.8850191161,-94.3688223377,-21.4838032216,49,80,-74.8232193763,0,0
-72.2922601177,-93.7455340868,-21.453273969,52,76,-74.6759882721,0,46
-72.3024461574,-93.423687253,-21.1212410956,52,89,-73.3146460245,0,46
-72.4029752949,-94.0068578958,-21.603882601,47,76,-74.7867034493,0,0
-73.8338945184,-94.3688223377,-20.5349278193,49,75,-76.3326692506,0,0
-72.0843975804,-97.6769453447,-25.5925477642,60,80,-74.0225978406,0,46
-72.7563173159,-93.9548954861,-21.1985781702,49,78,-74.9144252621,0,0
-73.4258294607,-94.1897254846,-20.7638960239,48,90,-74.3409792719,0,0
-72.5880027316,-93.7455340868,-21.1575313552,52,73,-75.3215455292,0,46
-73.2395361589,-93.9548954861,-20.7153593272,49,78,-75.3976441051,0,0
-73.0822621764,-93.9548954861,-20.8726333097,49,74,-75.6976277818,0,0
-73.3176158823,-93.7455340868,-20.4279182044,52,74,-75.9329814877,0,46
-73.1181246912,-94.1897254846,-21.0716007934,48,78,-75.2762326374,0,0
-73.0445001975,-94.1897254846,-21.1452252872,48,78,-75.2026081437,0,0
-72.1742664513,-93.423687253,-21.2494208018,52,90,-73.0894162625,0,46
-73.1070627503,-94.3688223377,-21.2617595874,49,87,-74.316677698,0,0
-73.0796528675,-94.0068578958,-20.9272050283,47,74,-75.6950184729,0,0
-72.4670284113,-93.423687253,-20.9566588417,52,90,-73.3821782225,0,46
-72.8782170142,-93.5929310443,-20.71471403,47,89,-73.8904168813,0,0
-73.1910350248,-94.0068578958,-20.815822871,47,72,-76.0443850962,0,0
-72.2880477596,-93.1240550193,-20.8360072597,52,88,-73.3983943166,0,46
-72.8781782353,-93.5770098772,-20.6988316419,49,81,-74.7084778577,0,0
-73.0886843589,-93.7757986331,-20.6871142741,48,78,-75.2467923051,0,0
-72.4003319863,-93.1240550193,-20.723723033,52,78,-74.5584399325,0,0
-73.0579601328,-93.3979130242,-20.3399528913,48,74,-75.6733257382,0,58
-72.9566331166,-93.5770098772,-20.6203767606,49,73,-75.6901759142,0,58
-72.7631131538,-93.423687253,-20.6605740993,52,76,-75.1468413082,0,0
-72.8051349556,-93.5929310443,-20.7877960887,47,88,-73.9154815126,0,58
-73.9111727324,-92.9082867198,-18.9971139874,54,71,-76.886005758,0,58
-75.0164295428,-92.580478396,-17.5640488532,52,80,-76.954629803,0,0
-76.078315121,-93.2150454354,-17.1367303143,47,75,-78.5770898532,0,58
-77.1895345728,-93.2293888146,-16.0398542418,49,67,-80.6680385188,0,58
-74.3379410183,-92.580478396,-18.2425373778,52,77,-76.6081265148,0,0
-74.7394502606,-92.6600508825,-17.9206006219,54,75,-77.2382249928,0,58
-76.8375495622,-93.451863343,-16.6143137808,54,77,-79.1077350587,0,58
-74.4437403774,-92.580478396,-18.1367380186,52,76,-76.8274685318,0,0
-76.5980166551,-92.9082867198,-16.3102700647,54,74,-79.2133822605,0,58
-77.3385659627,-93.2150454354,-15.8764794727,47,75,-79.8373406949,0,58
-75.7081389834,-92.580478396,-16.8723394127,52,75,-78.2069137155,0,0
-75.9250999273,-93.2150454354,-17.2899455081,47,73,-78.6586427249,0,58
-77.5609700342,-93.5929310443,-16.0319610101,47,75,-80.0597447664,0,58
-75.8455484763,-92.580478396,-16.7349299197,52,70,-78.943587676,0,0
-77.434981047,-93.3979130242,-15.9629319772,48,76,-79.8187092014,0,58
-75.7154936853,-92.8674243728,-17.1519306875,47,74,-78.3308592907,0,58
-75.4853733822,-93.1240550193,-17.638681637,52,66,-79.0944946714,0,0
-75.5717389315,-93.0502919616,-17.4785530301,48,77,-77.841924428,0,58
-76.7816768382,-93.2293888146,-16.4477119764,49,74,-79.3970424436,0,58
-75.3919809476,-92.580478396,-17.1884974485,52,74,-78.0073465529,0,0
-76.9049277907,-93.5770098772,-16.6720820865,49,68,-80.2547495365,0,58
-74.2662046878,-92.9082867198,-18.642082032,54,75,-76.76497942,0,58
-75.2055630237,-92.8437677833,-17.6382047595,52,75,-77.7043377559,0,0
-76.0655128286,-93.5929310443,-17.5274182157,47,77,-78.3356983251,0,58
-74.561316818,-93.2150454354,-18.6537286173,47,74,-77.1766824234,0,58
-75.7116659273,-92.580478396,-16.8688124687,52,64,-79.5880664477,0,0
-74.7161155955,-92.8674243728,-18.1513087773,47,75,-77.2148903277,0,58
-76.1192265505,-92.9075419809,-16.7883154304,49,68,-79.4690482964,0,58
-75.5269689948,-94.0931551493,-18.5661861546,52,73,-78.2605117924,0,0
-74.8815682646,-94.4644328014,-19.5828645369,47,68,-78.2313900104,0,58
-73.1309346104,-93.2150454354,-20.084110825,47,74,-75.7463002157,1,58
-73.8959364539,-93.7455340868,-19.8495976328,52,87,-75.1055514015,1,0
-75.2148989907,-94.8263972433,-19.6114982526,49,84,-76.7293132695,1,58
-76.2504107404,-95.1588256147,-18.9084148743,48,66,-79.8595320296,1,58
-75.3830157368,-94.6473003902,-19.2642846534,48,70,-78.4810549365,1,0
-75.0092479172,-94.4710407582,-19.461792841,52,72,-77.8625979886,1,46
-74.8505090097,-94.2586056687,-19.408096659,53,83,-76.4689471622,1,0
-75.4674003464,-93.9108741702,-18.4434738238,55,72,-78.3207504178,1,0
-75.4837131972,-94.0931551493,-18.6094419522,52,68,-78.8335349431,1,46
-73.9875184898,-93.3979130242,-19.4103945344,48,70,-77.0855576895,1,0
-74.2960531886,-93.2895055386,-18.9934523499,53,68,-77.6458749345,1,0
-81.9598848773,-94.8849676098,-12.9250827325,52,74,-84.5752504827,1,46
-76.3459801827,-95.7387450845,-19.3927649018,48,88,-77.4563267396,1,0
-79.0892095182,-99.5976097905,-20.5084002723,49,211,-72.6035604122,1,0
-77.3018034436,-97.8952675665,-20.5934641229,52,211,-70.8161543376,1,0
-79.7776837477,-98.5237009106,-18.7460171629,50,207,-73.4582768385,1,46
-76.6952086318,-96.4339872097,-19.7387785778,52,191,-71.0745412869,1,0
-92.4687650574,-100.996557939,-8.52779288175,47,210,-86.0243791628,1,46
-88.9162243453,-101.874667653,-12.9584433079,52,210,-82.4718384506,1,46
-89.0340020792,-104.189725485,-15.1557234054,48,162,-84.8437017884,1,0
-89.7309923775,-101.874667653,-12.1436752756,52,162,-85.5406920867,1,0
-88.4951341253,-104.544300824,-16.0491666985,50,162,-84.3048338344,1,46
-89.6168835789,-104.88496761,-15.2680840309,52,210,-83.1724976842,1,46
-87.4482122612,-104.88496761,-17.4367553486,52,267,-78.9179870339,1,46
-83.1401995963,-103.629151013,-20.4889514163,45,260,-74.8407326369,1,0
-91.0515075261,-101.706004302,-10.6544967763,51,260,-82.7520405667,1,46
-90.7315898199,-103.433954267,-12.702364447,44,154,-86.9811754032,1,0
-81.4006923016,-104.88496761,-23.4842753082,52,152,-77.7638205427,1,0
-86.1143030293,-104.368822338,-18.2545193084,49,208,-79.75303633,1,46
-88.3621638697,-103.433954267,-15.0717903971,44,208,-82.0008971705,1,0
-87.4087270659,-105.050418129,-17.6416910632,53,267,-78.8785018386,1,58
-83.1945925875,-101.874667653,-18.6800750657,52,267,-74.6643673602,1,0
-79.0399111412,-99.0488448236,-20.0089336824,46,229,-71.8432014944,1,46
-88.4503730713,-101.874667653,-13.4242945819,52,229,-81.2536634245,1,46
-91.8021072999,-104.88496761,-13.0828603099,52,229,-84.6053976531,1,0
-84.1427251597,-104.368822338,-20.226097178,49,211,-77.6570760538,1,46
-80.9863972591,-100.113755063,-19.1273578035,52,211,-74.5007481531,1,46
-94.4432927858,-100.279205582,-5.83591279612,53,224,-87.4383324191,1,0
-83.8238932696,-104.88496761,-21.0610743402,52,186,-78.4336343853,1,0
-83.520707039,-103.433954267,-19.9132472278,44,186,-78.1304481547,1,0
-91.0129094902,-101.874667653,-10.861758163,52,228,-83.8542125502,1,46
-85.5696861202,-103.433954267,-17.8642681467,44,208,-79.2084194209,1,46
-90.0211249792,-101.179425528,-11.1583005488,48,202,-83.9140975903,1,0
-86.2362318552,-100.113755063,-13.8775232074,52,177,-81.276766528,1,46
-85.2454071779,-99.2356453486,-13.9902381707,47,116,-83.9562473934,1,0
